Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
GOLĘCIN (20),20,31,79/1,20/31/79/1,0.5786,Szkoła Podstawowa nr 89   ,
GOLĘCIN (20),20,38,62/2,20/38/62/2,0.0104,Urząd Statystyczny w Poznaniu   ,
GOLĘCIN (20),20,38,60,20/38/60,0.1508,Urząd Statystyczny w Poznaniu   ,
GOLĘCIN (20),20,29,12/1,20/29/12/1,0.0255,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,12/1,20/29/12/1,0.0255,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,20/1,20/29/20/1,0.2393,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,20/1,20/29/20/1,0.2393,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,17,20/29/17,0.0451,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,17,20/29/17,0.0451,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,41,20/29/41,0.0529,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,41,20/29/41,0.0529,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,39,20/29/39,0.0501,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,39,20/29/39,0.0501,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,42,20/29/42,0.0505,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,42,20/29/42,0.0505,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,06,4/1,20/06/4/1,0.4021,Zespół Szkolno-Przedszkolny nr 15   ,2022-03-12T02:00:00+01:00
GOLĘCIN (20),20,22,4/1,20/22/4/1,0.1456,Zarząd Zieleni Miejskiej   ,2017-04-27T04:00:00+02:00
GOLĘCIN (20),20,29,72/1,20/29/72/1,0.0539,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,72/1,20/29/72/1,0.0539,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,13,1/972,20/13/1/972,0.0485,"Przedszkole nr 77 ""Koraliki""   ",2018-07-10T04:00:00+02:00
GOLĘCIN (20),20,13,1/962,20/13/1/962,0.0209,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,42,60/5,20/42/60/5,0.0793,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,29,73/1,20/29/73/1,0.0464,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,73/1,20/29/73/1,0.0464,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
JEŻYCE (21),21,18,1/8,21/18/1/8,0.4195,Zarząd Transportu Miejskiego w Poznaniu   ,
JEŻYCE (21),21,18,1/7,21/18/1/7,0.6575,Zarząd Transportu Miejskiego w Poznaniu   ,
GOLĘCIN (20),20,29,74/1,20/29/74/1,0.0205,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,74/1,20/29/74/1,0.0205,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,41,48/12,20/41/48/12,1.4854,XXXVIII Dwujęzyczne Liceum Ogólnokształcące im.Jana Nowaka-Jeziorańskiego   ,
GOLĘCIN (20),20,33,35/6,20/33/35/6,0.0345,Prezydent Miasta Poznania   ,
GOLĘCIN (20),20,31,143/10,20/31/143/10,0.3122,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,29,9/2,20/29/9/2,0.0154,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,9/2,20/29/9/2,0.0154,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,37,2/6,20/37/2/6,0.0172,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,41,76/6,20/41/76/6,1.4058,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,36,18/5,20/36/18/5,0.384,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,29,28/3,20/29/28/3,0.0966,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,28/3,20/29/28/3,0.0966,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,23,20/29/23,0.045,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,23,20/29/23,0.045,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,62/1,20/29/62/1,0.0427,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,62/1,20/29/62/1,0.0427,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
JEŻYCE (21),21,12,26,21/12/26,0.1032,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,39,87,20/39/87,0.517,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,25,15/58,20/25/15/58,0.0027,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,06,3/15,20/06/3/15,0.0136,Zespół Szkolno-Przedszkolny nr 15   ,2022-03-12T02:00:00+01:00
GOLĘCIN (20),20,31,83/8,20/31/83/8,0.4924,Szkoła Podstawowa nr 89   ,
GOLĘCIN (20),20,40,1/6,20/40/1/6,0.4246,Zarząd Zieleni Miejskiej   ,
GOLĘCIN (20),20,15,17,20/15/17,0.7818,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,25,15/78,20/25/15/78,4.1137,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,15,7,20/15/7,0.1128,Prezydent Miasta Poznania   ,
GOLĘCIN (20),20,04,52,20/04/52,1.1447,Zespół Szkolno-Przedszkolny nr 15   ,2022-03-12T02:00:00+01:00
GOLĘCIN (20),20,36,17,20/36/17,0.116,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,45,119,20/45/119,0.0535,Zarząd Dróg Miejskich   ,
GOLĘCIN (20),20,45,121,20/45/121,0.3749,Zarząd Dróg Miejskich   ,
GOLĘCIN (20),20,45,124/2,20/45/124/2,0.0058,Zarząd Dróg Miejskich   ,
JEŻYCE (21),21,12,20/1,21/12/20/1,0.0002,Komenda Wojewódzka Policji w Poznaniu   ,
JEŻYCE (21),21,12,20/2,21/12/20/2,0.5968,Komenda Wojewódzka Policji w Poznaniu   ,
GOLĘCIN (20),20,29,69/1,20/29/69/1,0.112,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,69/1,20/29/69/1,0.112,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,33/1,20/29/33/1,0.059,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,33/1,20/29/33/1,0.059,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,36,19,20/36/19,0.0251,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,36,21,20/36/21,0.0707,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,29,25,20/29/25,0.0744,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,25,20/29/25,0.0744,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,6/1,20/29/6/1,0.0063,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,6/1,20/29/6/1,0.0063,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,38,27,20/38/27,0.0794,Przedszkole nr 171   ,
GOLĘCIN (20),20,29,11/1,20/29/11/1,0.0235,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,11/1,20/29/11/1,0.0235,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,36,18/2,20/36/18/2,22.4791,Poznańskie Ośrodki Sportu i Rekreacji   ,
GOLĘCIN (20),20,29,34/1,20/29/34/1,0.0026,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,34/1,20/29/34/1,0.0026,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
GOLĘCIN (20),20,29,4/7,20/29/4/7,0.1189,"Przedszkole nr 155 ""POLANIE""   ",
GOLĘCIN (20),20,29,4/7,20/29/4/7,0.1189,Szkoła Podstawowa nr 27 im.Stefana Czarnieckiego   ,2017-11-18T02:00:00+01:00
